study_id	theme	name
1	Genetics	Tunisia
2	Genetics	Tunisia
3	Genetics	Algeria
3	Genetics	Tunisia
3	Genetics	Morocco
4	Genetics	Zambia
5	Genetics	Sudan
6	Genetics	Morocco
6	Genetics	Tunisia
6	Genetics	Algeria
7	Genetics	Tunisia
8	Genetics	Tunisia
9	Genetics	Nigeria
10	Genetics	Tunisia
11	Genetics	Algeria
11	Genetics	Morocco
11	Genetics	Tunisia
11	Genetics	Libya
12	Genetics	South Africa
13	Genetics	Tunisia
14	Genetics	Sudan
15	Genetics	South Africa
16	Genetics	Tunisia
17	Genetics	South Africa
18	Genetics	South Africa
19	Genetics	Algeria
19	Clinical	Algeria
20	Genetics	Tunisia
21	Genetics	Tunisia
22	Genetics	South Africa
23	Genetics	Algeria
23	Genetics	Morocco
23	Genetics	Tunisia
23	Genetics	Libya
24	Genetics	Tunisia
25	Genetics	Algeria
26	Genetics	South Africa
27	Genetics	Egypt
28	Genetics	Tunisia
28	Clinical	Tunisia
29	Genetics	South Africa
30	Genetics	Zambia
31	Genetics	South Africa
32	Genetics	Tunisia
33	Genetics	South Africa
34	Genetics	Tunisia
35	Genetics	Tunisia
36	Genetics	South Africa
37	Genetics	South Africa
38	Genetics	Egypt
39	Genetics	South Africa
40	Genetics	Morocco
41	Genetics	Algeria
42	Genetics	South Africa
43	Genetics	Tunisia
44	Genetics	Morocco
45	Genetics	Morocco
46	Genetics	South Africa
47	Genetics	Tunisia
47	Clinical	Tunisia
48	Genetics	Nigeria
49	Genetics	Egypt
50	Genetics	Sudan
51	Genetics	South Africa
52	Genetics	South Africa
53	Genetics	South Africa
53	Genetics	Nigeria
54	Genetics	Tanzania
55	Genetics	Tunisia
55	Risk Factor	Tunisia
56	Genetics	South Africa
57	Genetics	Tunisia
58	Genetics	Morocco
59	Genetics	Nigeria
60	Genetics	South Africa
61	Genetics	Nigeria
62	Genetics	Egypt
62	Clinical	Egypt
63	Clinical Features	Nigeria
64	Clinical Features	Tunisia
65	Clinical Features	Nigeria
66	Clinical Features	Tanzania
67	Clinical Features	Tanzania
68	Clinical Features	Zambia
68	Epidemiology	Zambia
69	Clinical Features	Sudan
70	Clinical Features	Nigeria
71	Clinical Features	Nigeria
72	Clinical Features	Senegal
73	Clinical Features	Tanzania
74	Clinical Features	Nigeria
75	Clinical Features	Nigeria
76	Clinical Features	Nigeria
77	Clinical Features	Tanzania
78	Clinical Features	Egypt
79	Clinical Features	Nigeria
80	Clinical Features	Nigeria
81	Clinical Features	Cameroon
82	Clinical Features	Zambia
82	Genetics	Zambia
