study_id	theme	name
1	Genetics	Tunisia
2	Genetics	Tunisia
3	Genetics	Algeria,Tunisia,Morocco
4	Genetics	Zambia
5	Genetics	Sudan
6	Genetics	Morocco,Tunisia,Algeria
7	Genetics	Tunisia
8	Genetics	Tunisia
9	Genetics	Nigeria
10	Genetics	Tunisia
11	Genetics	Algeria,Morocco,Tunisia,Libya
12	Genetics	South Africa
13	Genetics	Tunisia
14	Genetics	Sudan
15	Genetics	South Africa
16	Genetics	Tunisia
17	Genetics	South Africa
18	Genetics	South Africa
19	Genetics,CLINICAL	Algeria
20	Genetics	Tunisia
21	Genetics	Tunisia
22	Genetics	South Africa
23	Genetics	Algeria,Morocco,Tunisia,Libya
24	Genetics	Tunisia
25	Genetics	Algeria
26	Genetics	South Africa
27	Genetics	Egypt
28	Genetics,CLINICAL	Tunisia
29	Genetics	South Africa
30	Genetics	Zambia
31	Genetics	South Africa
32	Genetics	Tunisia
33	Genetics	South Africa
34	Genetics	Tunisia
35	Genetics	Tunisia
36	Genetics	South Africa
37	Genetics	South Africa
38	Genetics	Egypt
39	Genetics	South Africa
40	Genetics	Morocco
41	Genetics	Algeria
42	Genetics	South Africa
43	Genetics	Tunisia
44	Genetics	Morocco
45	Genetics	Morocco
46	Genetics	South Africa
47	Genetics,CLINICAL	Tunisia
48	Genetics	Nigeria
49	Genetics	Egypt
50	Genetics	Sudan
51	Genetics	South Africa
52	Genetics	South Africa
53	Genetics	South Africa,Nigeria
54	Genetics	Tanzania
55	Genetics,RISK FACTOR	Tunisia
56	Genetics	South Africa
57	Genetics	Tunisia
58	Genetics	Morocco
59	Genetics	Nigeria
60	Genetics	South Africa
61	Genetics	Nigeria
62	Genetics,Clinical	Egypt
63	Clinical features	Nigeria
64	Clinical features	Tunisia
65	Clinical features	Nigeria
66	Clinical features	Tanzania
67	Clinical features	Tanzania
68	Clinical features,EPIDEMIOLOGY	Zambia
69	Clinical features	Sudan
70	Clinical features	Nigeria
71	Clinical features	Nigeria
72	Clinical features	Senegal
73	Clinical features	Tanzania
74	Clinical features	Nigeria
75	Clinical features	Nigeria
76	Clinical features	Nigeria
77	Clinical features	Tanzania
78	Clinical features	Egypt
79	Clinical features	Nigeria
80	Clinical features	Nigeria
81	Clinical features	Cameroon
82	Clinical features,Genetics	Zambia
83	clinical features	South Africa
84	Clinical features	Nigeria
85	Clinical features	Morocco
86	Clinical features	Ghana
87	Clinical features	Nigeria
88	Clinical features	South Africa
89	Clinical features	Senegal
90	clinical features	Tanzania
91	Clinical features	Nigeria
92	Clinical features	Nigeria
93	Clinical features	Egypt
94	Clinical features	Niger
95	Clinical features	Madagascar
96	Clinical features	Nigeria
97	Clinical features	Nigeria
98	Clinical features	Ethiopia
99	Clinical features	Morocco
100	Clinical features	Ethiopia
101	Clinical features	South Africa
102	Clinical features	Ethiopia
103	Clinical features	Nigeria
104	Clinical features	Nigeria,Egypt,Cameroon
105	Clinical features	South Africa
106	Clinical features	Morocco
107	Clinical features	Ghana,Zambia,
108	Clinical features	Nigeria
109	Clinical features	South Africa
110	Clinical features	Morocco
111	Clinical features	Ethiopia
112	Clinical features	Kenya
113	Clinical features	Egypt
114	Clinical features	Morocco
115	Clinical features	Tunisia
116	Clinical features	South Africa
117	Epidemiology	Libya
118	Epidemiology	Nigeria
119	Epidemiology	Ethiopia
120	Epidemiology	Tunisia
121	Epidemiology	Cameroon
122	Epidemiology	Tanzania
123	Epidemiology	Nigeria
124	Epidemiology	Tanzania
125	Epidemiology	Egypt
126	Epidemiology	Egypt
127	Epidemiology	Egypt
128	Epidemiology	Cameroon
129	Epidemiology	Cameroon
130	Epidemiology	Nigeria
131	Risk factors	South Africa
132	Risk factors	Malawi,Mozambique
133	Risk factors	Ghana
134	Risk factors	Nigeria
135	Risk factors	Egypt
136	Risk factors	Egypt
137	Risk factors	South Africa
138	Risk Factors	Tunisia
139	Risk factors	Morocco
140	Risk factors	Tunisia
141	Risk factors	South Africa
142	Management and Access to care	Tanzania
143	Management and Access to care	Kenya
144	Management and Access to care	Nigeria
145	Management and Access to care	Egypt,Congo,Tunisia,Nigeria,Ethiopia,Cameroon,Morocco,Sudan,Algeria,Madagascar,Ivory Coast,Niger,Burkina Faso,Uganda,Somalia,Malawi,Burundi,Namibia,Libya,Botswana,Chad,Djibouti,Zimbabwe,Kenya,Tanzania,Ghana,Zambia,South Africa
146	Management and Access to care	Tunisia
147	Patient engagement and QOL	Tanzania
148	Patient engagement and QOL	Nigeria
149	Patient engagement and QOL	Nigeria
150	Patient engagement and QOL	Uganda
151	Patient engagement and QOL	South Africa
152	Patient engagement and QOL	Ethiopia
153	Clinical features	Egypt
154	Clinical features	Egypt
155	Patient engagement and QOL	Kenya
156	Education and Training	Cameroon
157	Education and Training	Cameroon
158	Education and Training	Cameroon
